instance_id,text,source,scores,users,man_score,woman_score,white_score,black_score,asian_score,nonwhite_score,label
1006,Just be honest and everything will be as it should.,revised,"[2.0, 5.0, 3.0, 2.0, 1.0, 4.0, 3.0, 3.0]","['59ea4e1116ecc200016ff81e', '5e0d974a99b2824fd458d412', '6345fd111f4b746641e67b9f', '5ded9996838b4f45b83bb3f9', '632b9d9bc38454f47019295c', '62c08fa6cab36e3a08790b49', '62b146e365eca239ef0dbbfb', '60fccc55d3d53b24bb3c8379']",2.5,3.3333333333333335,3.0,,2.5,2.5,2.875
1007,"Louise,
We're making good progress with a new project expense management protocol that will provide Business Unit Executives with higher quality information on project expenditures as well as automatically require management authorization or re-authorization at pre-determined levels of spend or DASH approved limits.  My plan is to have this implemented by 1Q2002.
Richard Lauer from RAC is leading this effort.  I'll keep you posted on developments.
Let me know if you have any specific thoughts or requests on this.",enron,"[5.0, 4.0, 5.0, 5.0, 5.0, 3.0, 5.0]","['60ff24f7ca731d0a400d69e6', '58a50aebbb9e0f0001aca2a7', '63f93660b863689518fb98d8', '63c72079af67adedbd68ae4b', '5ebc70e8d7a1780bedd1514e', '62f70dd38becd2f7f2ce53a8', '62804a71208cb8a9dae43e79']",4.0,5.0,4.6,,4.0,4.5,4.571428571428571
1008,"Dear John, 

We have actually downsized the group since the departure of Robert Greer and Anna Briggs. 

I also identified replacement for the one Associate rotating out in the summer. 

In terms of Analysts, we have two rotating out in the summer, but we really prefer analysts with a year of experience and will take our chances identifying and hiring them.

Since summer is not likely to be a really busy time for us this year, I don’t think we need summer A/A’s. 



Regards,

MLM",revised,"[5.0, 5.0, 3.0, 5.0, 5.0, 3.0, 3.0]","['57d435c8ca054400014bac35', '5fc92adbee0fb03aeb5bf6c5', '638e1da5ecf3d22cdf23925b', '5dd0d2f02b033b190687eaee', '5ded9996838b4f45b83bb3f9', '5fb9de27e62120924c5b2176', '5dcecc2d1986eb01a449f4e4']",5.0,4.0,4.0,,,5.0,4.142857142857143
1009,I would be willing to pay $300 for the tickets tonight. I am upset about the awful game that I had to attend on Tuesday.,revised,"[4.0, 3.0, 3.0, 2.0, 3.0, 4.0, 3.0]","['5e34325430e5263f0bebb32d', '633872ba6dfc63a1faf7112d', '6140adcab5864590ec9a9c79', '5a7618b18fe2dc0001057243', '6044dfc230e44b5793804ba6', '5d8a1d20d1afcb0019d7390b', '63f8b3967c2e7bd04e14a0e5']",4.0,2.8,3.2,3.0,,3.0,3.142857142857143
101,Sometimes people react to you badly if your behavior reads as being rude to them. You might want to consider using a softer tone.,revised,"[2.0, 2.0, 2.0, 4.0, 3.0, 3.0]","['630e2acdb76b29b94ceecff1', '5b15d20c444cef0001cb1153', '63e4057033c01ca76a0d8d2a', '63ee59dc6e5fbabca14d3d16', '5efcaaee74e56207d16db007', '5c567e2acc53750001751cb0']",2.6,3.0,2.75,,,2.5,2.6666666666666665
1010,"Ha! If you get the chance, you should share this with the rest of your group. They'll certainly appreciate it.

D",revised,"[3.0, 5.0, 5.0, 4.0, 4.0, 4.0, 5.0]","['5b757a03976ecb0001b1168f', '5e9c8deb90dd470441c7f98e', '63f018abf8a9cc18acee5799', '5d8de6eaafa2c40019f2375e', '636e7db188a61f7669dd6120', '5e42f74f5b772a18434cabf7', '615de5ffd3c522eef3c49556']",5.0,4.0,4.166666666666667,5.0,,5.0,4.285714285714286
1011,"Hi (Person to whom this goes),



Thanks for the info on where to buy tickets.  I may go by right after work to try and get them. Do you want me to just call you on your cell phone and let you know if we've got actual seats?



Thanks!",revised,"[4.0, 5.0, 3.0, 3.0, 3.0, 5.0, 2.0]","['6316c38449466a362ee07be9', '6290d34243e9347c40bac608', '611eb5db46ee495d60b16aae', '5c510b41e459660001e38861', '5e01451c6e8aabd0d17df3a9', '62804a71208cb8a9dae43e79', '63fb4b7f05faed13656528f0']",3.0,4.333333333333333,3.6666666666666665,3.0,,3.0,3.5714285714285716
1012,"Hello,

I wanted to let you know I missed you and our witty conversations. I'm glad you are back with us. ",revised,"[4.0, 3.0, 5.0, 5.0, 5.0, 4.0]","['5da8826d8d163e0015d33c0c', '61644b17ec9f97f7485d5624', '5fd66ce8aec66457ff73d743', '5fdd6ae284b3a9449c87a064', '62858e3a433a7a27305f1992', '6387984be099d077b7cd8508']",,4.333333333333333,4.666666666666667,3.5,5.0,4.0,4.333333333333333
1013,"I have interest in being wherever you are...i dont have any kids, but can i bring my cats?
xo",enron,"[2.0, 5.0, 5.0, 5.0, 5.0, 4.0]","['6102c843811b2ec9d92767ad', '6412285c18716831333d53b3', '60f6ce6de6cf393bcde0c14d', '63c1c24976306b075e432d82', '63d4226c0fe4674cfaf0d049', '5fc6a3c3f7ddee03573bdd6c']",2.0,4.8,4.2,,5.0,5.0,4.333333333333333
1014,I find it interesting that people who are overweight like to wear clothes that are tight or not very modest. I also don't understand why the people who are naked are all brunettes. ,revised,"[2.0, 1.0, 1.0, 1.0, 3.0, 2.0]","['61539b3fa541b182c0fadde1', '5fc92adbee0fb03aeb5bf6c5', '5f55703988e3f3145f5bb48a', '615de5ffd3c522eef3c49556', '60ef9d89ec035587753dc4ed', '622a45377f266d99ea297793']",1.0,1.8,2.0,1.0,3.0,1.5,1.6666666666666667
1015,"Ben, as discussed, please move the four Ercot lines to the front page for the listed people below. Also, to the extent possible, add the E lines.

These guys are prioritized as follows:

John Forney

Eric Saibi

Steve Olinde

Joe Capasso (new to the group)

Alex McElreath

Jeff Miller

Smith Day

Joe Errigo



Thank you",revised,"[3.0, 3.0, 5.0, 4.0, 5.0, 5.0]","['5e65531ade78962d424730a3', '5da8826d8d163e0015d33c0c', '558af269fdf99b7dfef4d7bd', '615914a33224dc31f1045612', '642ee1cb7e6da0f6158a6743', '63655d5226651ebb9318f938']",4.333333333333333,4.0,4.666666666666667,3.0,4.0,3.6666666666666665,4.166666666666667
1016,Are you going to play?  It's a shame to just see you on the sidelines.,revised,"[5.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0]","['5c983e85b18d000017e1b7e9', '63f018abf8a9cc18acee5799', '5ac4c721e1099600016a823b', '60f780f13d153d16a6d4a3a0', '5d8a1d20d1afcb0019d7390b', '63bc9e8cd8106f8d94c636d4', '5dd405ab80123f3eaae9af80']",3.6666666666666665,3.3333333333333335,3.6666666666666665,4.0,,4.0,3.7142857142857144
1017,"Hey Rick,



The timing sucks sometimes.  Doesn't it?



SM",revised,"[2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 4.0]","['5b06efd1732c5d000154de23', '63da9d744c860382808770bd', '62df06687ffc916ae47759ee', '63c1c24976306b075e432d82', '60fb534aa3d839c152fa8f36', '595bee9282be5500017ad683', '632b9d9bc38454f47019295c', '6111803025c0b80658532a61']",1.6666666666666667,2.0,1.6666666666666667,1.0,,2.5,1.875
1018,"I tried sending this email about 3 weeks ago and had problems.   So here it 
is.",enron,"[2.0, 3.0, 3.0, 3.0, 3.0, 2.0]","['62d861584f36d506a5729d6f', '6044dfc230e44b5793804ba6', '5e9c4666d28cb0023c8d43a5', '639fad17342dfdbf0139f67c', '6165a91cfe487d469c4242fd', '5f77c6a1a110ce346dc016ec']",2.6,3.0,2.6,,,3.0,2.6666666666666665
1019,Cool to be able to get to where he's going ,revised,"[4.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0]","['57d435c8ca054400014bac35', '5fc92adbee0fb03aeb5bf6c5', '5b0d1b8e444cef0001ca66ac', '628e0063fa56e316da2a71cb', '5b50881a59119400018abaf3', '5d6315fdfb93530001804285', '6426e41f68bf7666679d4afb']",2.5,3.0,3.0,2.0,,2.5,2.857142857142857
102,"Hello, 



I sent an email to Amanda Hubble requesting you to be included on the distribution list.  When approved, Amanda will send you the latest edition.  



Sincerely, Fletch.",revised,"[4.0, 3.0, 4.0, 5.0, 5.0, 4.0, 5.0]","['6412285c18716831333d53b3', '63ff85248ee53feba08a05fe', '5fb873f52be0a85c39c6ed82', '5e3cc28a194a520c0c128f13', '63fc00a210518ac818a9c529', '632b9d9bc38454f47019295c', '639a21660463f7343d9cee2b']",4.0,4.5,4.25,4.5,4.0,4.333333333333333,4.285714285714286
1020,that is pretty bad since you suck so bad at golf,enron,"[2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0]","['5e14d563c4e155ae93907ae1', '5783027f913c71000197300d', '5b0319e68d753d0001cc75c7', '63ed3c9553e90510bf1da553', '5f1b84872171f838a8a3cfa9', '63d3fadce8d1c8d393740c2b', '5fb9de27e62120924c5b2176']",1.5,1.0,1.2,2.0,,1.5,1.2857142857142858
1021,We are not dealing with someone who is all there. I could have told you that this would have been a waste of time.,revised,"[3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 3.0]","['61539b3fa541b182c0fadde1', '63ed27a5e1566867a961b6fc', '5d62182e7c07250019f1dd57', '604fe63ed8fccadd22fba2b2', '5b1f185488ee7400012b4b5c', '63d3fd4267f25518af752d7e', '5d5a2bd93296320016eee507']",2.5,1.5,1.8571428571428572,,,,1.8571428571428572
1022,"Please let Dan Batista know if you have a current or terminated employee that can fill the position(s) below. Dan can be reached at 3x6609. 
Regards,
Frank",enron,"[3.0, 5.0, 3.0, 4.0, 4.0, 4.0, 5.0, 4.0]","['5d418aa2ba5255001983bb82', '5df4ed2eae7b303760a9d47c', '5e064785e297d502d4f2b15f', '5fbd057ea95c7102638685d5', '6266b47e6da251268380b62b', '63dbd0221365338a25e03610', '581e0aee4182b600017307ea', '5d27dc6b46dea800184f8bfa']",4.5,3.8333333333333335,4.25,3.5,4.0,3.75,4.0
1023,"My love, I am available whenever you have time for me, but particularly the hours between twelve o'clock and two o'clock would be best.  I miss you and there isn't a second that goes by when I'm not thinking of you.  I love you, my dearest.",revised,"[2.0, 1.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0]","['5f61ddc72199f304bea2a4f4', '62c026818910950fc380e599', '608f2bae0ee0a74455533e4c', '5fb16308dc5973607fa3041c', '6324f7f3c58b003e512334e0', '60edb2213042be8b4c1363c2', '611c5ecc9dbdd93c809cee27', '5eaa0cc0fb0fca17a3006d9c']",3.6,4.666666666666667,3.4,,5.0,5.0,4.0
1024,"We have several RTO press opportunities, including meeting with the Reuters folks. Will we have time for this when Rick is in town?",revised,"[3.0, 3.0, 5.0, 5.0, 3.0, 3.0, 4.0, 1.0]","['5d4c7ac3e8ec490018b0050d', '63d570d979c31656fece7c7d', '5e3cc28a194a520c0c128f13', '615914a33224dc31f1045612', '63fd0b886bb6d681c03d7374', '5f1b84872171f838a8a3cfa9', '5fc6a3c3f7ddee03573bdd6c', '6387f4bcdf5c22093c240bf6']",3.5,3.25,3.8333333333333335,,,2.0,3.375
1025,"what two words clear out a men's bathroom?
scroll down
nice dick",enron,"[2.0, 1.0, 3.0, 1.0, 2.0, 2.0]","['5f1f2c053dd3620d41353827', '5fd63cb585f88c4eb1933661', '63ed1d16cb4f814893353e97', '622a04c3557ea04c82c8f62f', '5e9c4666d28cb0023c8d43a5', '611148bec42f89c1ba59b7e1']",2.3333333333333335,1.3333333333333333,2.0,1.0,,1.5,1.8333333333333333
1026,I think it could maybe be beneficial for you to look into money put options! They have a high delta so they move almost dollar for dollar with the stock.,revised,"[3.0, 3.0, 3.0, 3.0, 2.0, 1.0, 5.0]","['6150d9de26db220e2a7a912f', '60fe1f50d7381139258f29a7', '6290d34243e9347c40bac608', '60c52df5ae57d6d7918e76f0', '5c75419284e176001254c7a5', '5856eb5f28da4d0001884a76', '6174b5852985c94f3684a05d']",3.5,2.6,2.857142857142857,,,,2.857142857142857
1027,"Thanks to your work on thus project, we get to go out and celebrate! Beers on me!",revised,"[5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 5.0]","['5f61ddc72199f304bea2a4f4', '60fdddcb212cd62e7f6ea1f9', '60da243688f9aa74901ae90e', '574ce0a57fd0ec000db73aa6', '628e0063fa56e316da2a71cb', '5c696229bd58280001b4f554', '5f4aeb98fffa876b6ab5372d']",4.333333333333333,4.0,4.142857142857143,,,,4.142857142857143
1028,"Hey friend:

So we finally had LA type weather here for the past two days. Highs in the

mid-70's. Beautiful. Life's just going quite swell.

 I put a bid in for a condo in a new mid-rise building going up in West U that they accepted. If all goes good I'll move in next X-Mas. Hope you have been well. Got yourself any new friends yet?

Love, John",revised,"[4.0, 5.0, 5.0, 2.0, 4.0, 5.0, 4.0]","['5ef571b16317d90009f5493a', '63c1c24976306b075e432d82', '5ded9996838b4f45b83bb3f9', '6065f4e7a94da95672a23bc0', '5fecec76827f81eea8e1796d', '5e2d96d3bc554937d1b3917a', '61006c1e2e5f5734d322b8df']",3.5,4.4,4.5,,2.0,2.0,4.142857142857143
1029,Hello. I would like to know if it's Steve's call to eliminate new sales stations when Entex is ECT's customer? I would think that this would be Jim's call and I don't recall him running any economics on Pheasant Creek City Gate station. I appreciate your help. ,revised,"[2.0, 4.0, 5.0, 5.0, 5.0, 3.0, 4.0]","['5cfafa8c2bcca70017252f6b', '5e2b74daae56b71b9d24d89b', '62db157402a7033df0048e1c', '60a3128cb035414bb4588090', '5e20a27f25a4d03b9ee10bc6', '6044dfc230e44b5793804ba6', '568d286ab5a2c2000cb6a91c']",4.0,4.0,3.6666666666666665,5.0,,4.25,4.0
103,"Hello,



I called the airline and there has been a change of schedule. This is the new flight information:



Airline: Same(United)

Flt #: 1670

Airport: DFW

Time: 1:00 pm (arrive DFW)



Please ensure there are no problems.



Paul,



P.S. Please be timely ",revised,"[4.0, 5.0, 3.0, 4.0, 4.0, 2.0, 2.0, 4.0]","['60fdddcb212cd62e7f6ea1f9', '5ac4c721e1099600016a823b', '637656f618065b68614915b0', '5b15d20c444cef0001cb1153', '60fb534aa3d839c152fa8f36', '6151fbe0c6b5a6b6af706100', '5e9c4666d28cb0023c8d43a5', '636ac91e053af9563ef87d92']",3.4285714285714284,4.0,3.3333333333333335,4.0,,4.0,3.5
1030,"Hello Fred,



I worry that you may have taken on too much.",revised,"[3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0]","['63ed45bfc7e379e069b9db52', '60074f7584626422668a08b2', '59ea4e1116ecc200016ff81e', '63c1c24976306b075e432d82', '62a382f0cbe832bed1d0e575', '628524300be4422b915b32a9', '62c9990351a1fcfc4ea73063']",3.8,3.5,3.6666666666666665,3.5,4.0,3.75,3.7142857142857144
1031,"I saw a picture today, and now i know who you remind me of!  Sue Landwehr:  
talks like marge, looks like elle mcpherson.",enron,"[2.0, 5.0, 4.0, 2.0, 3.0, 4.0]","['5ede3d2ef7c9f9068776c4d2', '63fe38bfab28b75385783fba', '5dcec32a367c6d000a4282c2', '5e064785e297d502d4f2b15f', '5dd48444dd9a7447d224cc71', '622a0d9a4f5132ad78e5f1b6']",3.5,3.0,2.75,4.5,,4.5,3.3333333333333335
1032,"Marie:  I would like to schedule a meeting with you and others to review the 
agreement process, your contacts, account information, record retention 
(physical files and Lotus Notes), reporting procedures, any forms which you 
have developed and helpful tips.  I know that you are working on a memo which 
will address this information and it would be extremely helpful if we could 
learn from your experience. I would also like to discuss Ted Murphy's 
expectations.  I think this will take about an hour.  Please give me a 
suggested time during the week.  Thanks.  Sara",enron,"[5.0, 3.0, 5.0, 5.0, 4.0, 3.0]","['62bd42b72c2ccddf753b655b', '6152b8943ef5c73934ed350a', '6426e41f68bf7666679d4afb', '5c12521fbf739a0001cfeb03', '615880a66bc32302998866d9', '5d5a2bd93296320016eee507']",3.6666666666666665,4.666666666666667,4.5,3.0,4.0,3.5,4.166666666666667
1033,"Hi Rod,

I am reaching out on behalf of Marla regarding Gaye Mayeaux. I spoke to Margaret Dennison and she confirmed that we can charge Gaye's time directly through HR to whichever company and cost center necessary so just contact us with the company number and cost center number. I understand the effective date is July 2.

Please let me know if you have any questions. My extention is 3-6452.

Thanks,

Carolyn Barrett",revised,"[5.0, 4.0, 5.0, 3.0, 5.0, 5.0, 5.0]","['6108486c59c7eb367ebefa5f', '5da8826d8d163e0015d33c0c', '63ff85248ee53feba08a05fe', '62f975cbc3507ecf77180d00', '5fdd6ae284b3a9449c87a064', '5ebc70e8d7a1780bedd1514e', '640606633093306c279c0b97']",4.333333333333333,4.75,4.6,4.0,5.0,4.5,4.571428571428571
1034,"We are meeting tomorrow night (Wed. June 6th) at Carrabbas on I-10.  Let me
know if you and yours will be attending.  I'm thinking big-ass juicy pork
chunk.",enron,"[2.0, 3.0, 5.0, 3.0, 4.0, 3.0, 2.0]","['6102c843811b2ec9d92767ad', '608590825d295c858cbe7fa9', '607cf097a3821b079390ebb5', '558af269fdf99b7dfef4d7bd', '6150ca885dca8c918357a4d1', '62c08fa6cab36e3a08790b49', '5eaa0cc0fb0fca17a3006d9c']",2.75,3.6666666666666665,3.3333333333333335,,2.0,2.0,3.142857142857143
1035,"i hope this isn't a pic of a naked old man again.  what has been going on?  i 
haven't heard from you in a while.",enron,"[3.0, 1.0, 3.0, 2.0, 2.0, 3.0]","['5dce29700ad506063969a4a5', '63d698af12a4d488c5fdf05a', '60b348a8332d26d4b88be6a1', '5a16f199fe645f0001ea039c', '60e9e639ca992b3ffc3dee53', '615f69f97b6fb976c2aee3bd']",2.25,2.5,2.4,,,2.0,2.3333333333333335
1036,Ha! Look at the cc; I'm an idiot.,revised,"[2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]","['5671927473f58b000d664293', '6321b8a415804175faa4a824', '630caf1e86e49cd599f4b53a', '5c0150326a0c6e00013c6068', '631647a0bf6e0dd403e171c2', '5bd47734506cd3000101d181', '62f70dd38becd2f7f2ce53a8']",2.6,2.0,2.4285714285714284,,,,2.4285714285714284
1037,"Dear Sir,



I hope this email finds you well. It's great to hear from you. However, I must apologize for my previous message's language and tone. Looking back, I realize that it was impolite and unprofessional, and I regret any offense that I may have caused.

I am currently experiencing some physical and mental challenges that have affected my ability to invest adequately. I have been considering alternative options for securing my finances, such as burying my money in a secure location. Additionally, I have been contemplating purchasing a new car or a property, but my low utility bill of only $20.00 has given me pause.



I appreciate your understanding and patience as I navigate these difficulties. Unfortunately, I must end this email abruptly as someone is waiting for me. I look forward to chatting with you later.



Warm regards,

",revised,"[5.0, 4.0, 4.0, 4.0, 5.0, 5.0, 3.0]","['5bc8897f462bdb0001a61426', '608590825d295c858cbe7fa9', '60fce88734b4f53c960253f0', '60ff27e7e1030af99a1ecc26', '60858334390f28f5a4fb79d3', '638e415e46b2a8da60722496', '631f9f50e32a53a43badde1e']",4.333333333333333,4.333333333333333,4.2,4.5,,4.5,4.285714285714286
1038,"Hi Mark,



Here is the article that I mentioned this morning. It has some interesting information on long term power contracts. I hope you find it to be as helpful as I did!",revised,"[5.0, 4.0, 3.0, 5.0, 4.0, 5.0, 5.0]","['5e65531ade78962d424730a3', '633872ba6dfc63a1faf7112d', '59ea4e1116ecc200016ff81e', '63cc88cff0f86e1bdec22290', '5be5c05fd153f500019a2ef2', '5e975ea254955d0bfe9f7929', '60fccc55d3d53b24bb3c8379']",4.0,4.5,4.75,4.0,4.0,4.0,4.428571428571429
1039,You wouldn't have said that yesterday when I was in my psychotic rage.,enron,"[1.0, 2.0, 2.0, 1.0, 3.0, 2.0, 1.0]","['5d57a69c72ba1700184edd85', '5bdc5b74c562d50001a6bb95', '636e7db188a61f7669dd6120', '5feffaf65312ca38b5f63206', '609c297aff4c80dac255f75d', '5c1150e31e7d6900018207ef', '611f1751f8fd84c3ba826634']",1.75,1.6666666666666667,1.75,1.0,3.0,1.6666666666666667,1.7142857142857142
104,Nascar and now Soccer? You Feder boys sure love competition! ,revised,"[4.0, 3.0, 2.0, 3.0, 3.0, 4.0, 5.0, 3.0]","['6369700320bc7dd22e733009', '56e32190e414dc000c8b40ae', '5aea7d94a110a00001f7e50e', '5fd66ce8aec66457ff73d743', '62db76a315d362749f584469', '5facc4201f33582f15dcf9bf', '5c12521fbf739a0001cfeb03', '5c961ee66357fb0001ef4b4a']",3.0,4.0,3.4285714285714284,3.0,,3.0,3.375
1040,Dude - you are freakin riot. I almost fell out of my chair with that one.  You know what else does....crawfish pie,enron,"[3.0, 3.0, 2.0, 3.0, 1.0, 4.0, 5.0]","['5c745589be30fc0014e83dc2', '60fce88734b4f53c960253f0', '60fe22beeb612ead4d261590', '61640652141bd74963f8f1cb', '5bdc5b74c562d50001a6bb95', '5fd66ce8aec66457ff73d743', '5f4aeb98fffa876b6ab5372d']",2.0,3.5,3.0,3.0,,3.0,3.0
1041,"I was going to call and harasses you but no one answered your phone.  I'm 
pretty sure my purpose on life is to make you miserable.  What do you think?
I will be out of the office this afternoon after 2:00 pm - Tenn shipper 
meeting.",enron,"[2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]","['60dfd857e293a99dd577f4c8', '5d57a69c72ba1700184edd85', '5c59d8105bbd810001fb26de', '558af269fdf99b7dfef4d7bd', '5ede22703409e1042973a050', '6344e676138c37d41771acd0', '62e1eabe8e87096a831bda48']",1.25,1.3333333333333333,1.25,1.5,,1.3333333333333333,1.2857142857142858
1042,"This makes me crazy.  I ask her to send me a document, and she copies TWO 
partners on the transmittal, plus Fred and Rusty.",enron,"[1.0, 1.0, 2.0, 2.0, 2.0, 1.0]","['5f6e50b66df91337616891fe', '5fd63cb585f88c4eb1933661', '60edb2213042be8b4c1363c2', '6151fbe0c6b5a6b6af706100', '5d4345e9be616d0001f786cd', '639a21660463f7343d9cee2b']",2.0,1.0,1.75,1.0,,1.0,1.5
1043,"I was reading an interview with O'Reilly and a widow from the cantor. A reporter said the CEO took over the company when her husband passed. As a result, the CEO was barred from attending the funeral. This guy is inconsiderate. This widow has an infant and a four-year-old girl! She has a big mortgage and lives paycheck to paycheck. She has not received any money from anywhere except family and friends, but the Red Cross called her about paying for funeral expenses on the interview day. How many stories are there like this?",revised,"[2.0, 3.0, 1.0, 3.0, 4.0, 1.0, 3.0]","['6108486c59c7eb367ebefa5f', '5f2993920dddf60b87611e5c', '5c12f106c4b80e000192c472', '611b0ac70d4112b286c86f0d', '5f15ba922eed6a21fe83e78a', '6174b5852985c94f3684a05d', '6044dfc230e44b5793804ba6']",2.6666666666666665,2.25,2.4285714285714284,,,,2.4285714285714284
