dimension,model,prefix,label,correlation
politeness,flant5_xxl,female,white,0.7392005212447482
politeness,flant5_xxl,female,black,0.5478977429467101
politeness,flant5_xxl,female,asian,0.5739731896432325
politeness,flant5_xxl,white,overall,0.7522915400741979
politeness,flant5_xxl,white,man,0.6430546400499824
politeness,flant5_xxl,white,woman,0.6983113357651654
politeness,flant5_xxl,white,white,0.7316131845702432
politeness,flant5_xxl,white,black,0.548453560762484
politeness,flant5_xxl,white,asian,0.5628853576907783
politeness,flant5_xxl,black,overall,0.7515063794535827
politeness,flant5_xxl,black,man,0.6446780537627869
politeness,flant5_xxl,black,woman,0.6967856033988933
politeness,flant5_xxl,black,white,0.7305749501004983
politeness,flant5_xxl,black,black,0.5434063592714655
politeness,flant5_xxl,black,asian,0.5664952846153224
politeness,flant5_xxl,asian,overall,0.7422985500078559
politeness,flant5_xxl,asian,man,0.6399744869322925
politeness,flant5_xxl,asian,woman,0.6873913230667524
politeness,flant5_xxl,asian,white,0.7222392783306851
politeness,flant5_xxl,asian,black,0.5433418454029422
politeness,flant5_xxl,asian,asian,0.5607698458211874
politeness,flan_ul2,base,overall,0.712399281134602
politeness,flan_ul2,base,man,0.6168746158303391
politeness,flan_ul2,base,woman,0.6516241384082453
politeness,flan_ul2,base,white,0.6912953374268748
politeness,flan_ul2,base,black,0.5242308538261735
politeness,flan_ul2,base,asian,0.5185290275014033
politeness,flan_ul2,male,overall,0.7011434901905008
politeness,flan_ul2,male,man,0.6124201294308045
politeness,flan_ul2,male,woman,0.6377332631135517
politeness,flan_ul2,male,white,0.6804768866586293
politeness,flan_ul2,male,black,0.5140176771104575
politeness,flan_ul2,male,asian,0.504361277995585
politeness,flan_ul2,female,overall,0.7011377185121872
politeness,flan_ul2,female,man,0.6113156153681208
politeness,flan_ul2,female,woman,0.6356680678179255
politeness,flan_ul2,female,white,0.680583424696543
politeness,flan_ul2,female,black,0.5135956665338278
politeness,flan_ul2,female,asian,0.5035819238025112
politeness,flan_ul2,white,overall,0.7080493993224642
politeness,flan_ul2,white,man,0.6163124347284077
politeness,flan_ul2,white,woman,0.6439170467086328
politeness,flan_ul2,white,white,0.6871115551513844
politeness,flan_ul2,white,black,0.5198419755790415
politeness,flan_ul2,white,asian,0.4988401548405416
politeness,flan_ul2,black,overall,0.6868725858147601
politeness,flan_ul2,black,man,0.602421292944383
politeness,flan_ul2,black,woman,0.6206864147549005
politeness,flan_ul2,black,white,0.6652333336305488
politeness,flan_ul2,black,black,0.5112632706204414
politeness,flan_ul2,black,asian,0.4947998392544507
politeness,flan_ul2,asian,overall,0.7041061210387469
politeness,flan_ul2,asian,man,0.6136820131191891
politeness,flan_ul2,asian,woman,0.6387345433457927
politeness,flan_ul2,asian,white,0.6853613669219524
politeness,flan_ul2,asian,black,0.5113518093150319
politeness,flan_ul2,asian,asian,0.5099368059972139
politeness,tulu2_7b,base,overall,0.6495312216164989
politeness,tulu2_7b,base,man,0.5433427164218779
politeness,tulu2_7b,base,woman,0.599606832649933
politeness,tulu2_7b,base,white,0.6347920731678042
politeness,tulu2_7b,base,black,0.4719865822217682
politeness,tulu2_7b,base,asian,0.45856073180688
politeness,tulu2_7b,male,overall,0.6504702350090044
politeness,tulu2_7b,male,man,0.5543766168079577
politeness,tulu2_7b,male,woman,0.5997718919915436
politeness,tulu2_7b,male,white,0.637527587790847
politeness,tulu2_7b,male,black,0.4701890763295362
politeness,tulu2_7b,male,asian,0.4591953775074857
politeness,tulu2_7b,female,overall,0.6503160609228591
politeness,tulu2_7b,female,man,0.5553742372330813
politeness,tulu2_7b,female,woman,0.5980612353607276
politeness,tulu2_7b,female,white,0.6360167057583747
politeness,tulu2_7b,female,black,0.4672498597761296
politeness,tulu2_7b,female,asian,0.4575090531710561
politeness,tulu2_7b,white,overall,0.6489022948755189
politeness,tulu2_7b,white,man,0.5589596215328946
politeness,tulu2_7b,white,woman,0.5986619095271635
politeness,tulu2_7b,white,white,0.638870980443074
politeness,tulu2_7b,white,black,0.4567395905420104
politeness,tulu2_7b,white,asian,0.4383840339452542
politeness,tulu2_7b,black,overall,0.6737745714781318
politeness,tulu2_7b,black,man,0.5732888063107368
politeness,tulu2_7b,black,woman,0.6198033786082568
politeness,tulu2_7b,black,white,0.6584201416529634
politeness,tulu2_7b,black,black,0.4835200480441951
politeness,tulu2_7b,black,asian,0.4542068412670039
politeness,tulu2_7b,asian,overall,0.6769485059566457
politeness,tulu2_7b,asian,man,0.572960240484728
politeness,tulu2_7b,asian,woman,0.6271724381823767
politeness,tulu2_7b,asian,white,0.6635654803204817
politeness,tulu2_7b,asian,black,0.4813164674532052
politeness,tulu2_7b,asian,asian,0.4579828871314602
politeness,tulu2_13b,base,overall,0.6784951092722821
politeness,tulu2_13b,base,man,0.5636616900216057
politeness,tulu2_13b,base,woman,0.6360978681293522
politeness,tulu2_13b,base,white,0.657928388273939
politeness,tulu2_13b,base,black,0.486214632619564
politeness,tulu2_13b,base,asian,0.515233357052134
politeness,tulu2_13b,male,overall,0.6477325538983628
politeness,tulu2_13b,male,man,0.5424722218485512
politeness,tulu2_13b,male,woman,0.6055110660395769
politeness,tulu2_13b,male,white,0.6259650229013436
politeness,tulu2_13b,male,black,0.4814836077174313
politeness,tulu2_13b,male,asian,0.4990080688672885
politeness,tulu2_13b,female,overall,0.6461038349058975
politeness,tulu2_13b,female,man,0.5425647688370532
politeness,tulu2_13b,female,woman,0.6014980138895499
politeness,tulu2_13b,female,white,0.626766783424702
politeness,tulu2_13b,female,black,0.4752038041747677
politeness,tulu2_13b,female,asian,0.4987097423058855
politeness,tulu2_13b,white,overall,0.6552352219632483
politeness,tulu2_13b,white,man,0.5477050174422985
politeness,tulu2_13b,white,woman,0.6134432738940705
politeness,tulu2_13b,white,white,0.6317786465567952
politeness,tulu2_13b,white,black,0.4801419211320554
politeness,tulu2_13b,white,asian,0.5112338998376722
politeness,tulu2_13b,black,overall,0.652165208674187
politeness,tulu2_13b,black,man,0.548532453541411
politeness,tulu2_13b,black,woman,0.6084309101926751
politeness,tulu2_13b,black,white,0.6311648929483266
politeness,tulu2_13b,black,black,0.4773920095940485
politeness,tulu2_13b,black,asian,0.4974282123096534
politeness,tulu2_13b,asian,overall,0.660860054360036
politeness,tulu2_13b,asian,man,0.5515463685821748
politeness,tulu2_13b,asian,woman,0.6187986279563107
politeness,tulu2_13b,asian,white,0.641697786681562
politeness,tulu2_13b,asian,black,0.4856954457782971
politeness,tulu2_13b,asian,asian,0.5068933730477863
politeness,gpt35,base,overall,0.7596713052144459
politeness,gpt35,base,man,0.6450805408436968
politeness,gpt35,base,woman,0.7100821777145295
politeness,gpt35,base,white,0.7362217326026687
politeness,gpt35,base,black,0.5497082463123404
politeness,gpt35,base,asian,0.5716174818280078
politeness,gpt35,male,overall,0.7392696405292549
politeness,gpt35,male,man,0.6288398796552324
politeness,gpt35,male,woman,0.6894720330948181
politeness,gpt35,male,white,0.7148356469242122
politeness,gpt35,male,black,0.5314658733224491
politeness,gpt35,male,asian,0.5587222348290869
politeness,gpt35,female,overall,0.7514367178549034
politeness,gpt35,female,man,0.6385767935687355
politeness,gpt35,female,woman,0.6990425033967357
politeness,gpt35,female,white,0.727119564097785
politeness,gpt35,female,black,0.5472996887253265
politeness,gpt35,female,asian,0.5636766959734989
politeness,gpt35,white,overall,0.7107986955329851
politeness,gpt35,white,man,0.6072636339886153
politeness,gpt35,white,woman,0.6622785607435344
politeness,gpt35,white,white,0.6888018834010253
politeness,gpt35,white,black,0.5139467907181412
politeness,gpt35,white,asian,0.5306929352716376
politeness,gpt35,black,overall,0.6609321954519088
politeness,gpt35,black,man,0.5692245734414434
politeness,gpt35,black,woman,0.6118006523530717
politeness,gpt35,black,white,0.6442825681805624
politeness,gpt35,black,black,0.4839568929327248
politeness,gpt35,black,asian,0.4965335622376295
politeness,gpt35,asian,overall,0.6690321923029687
politeness,gpt35,asian,man,0.5665942171339414
politeness,gpt35,asian,woman,0.6245380216934795
politeness,gpt35,asian,white,0.6518325681221668
politeness,gpt35,asian,black,0.4804186891536711
politeness,gpt35,asian,asian,0.4881703945721898
politeness,gpt4,base,overall,0.808958178116272
politeness,gpt4,base,man,0.6899186854248227
politeness,gpt4,base,woman,0.752455799872475
politeness,gpt4,base,white,0.7828745449218034
politeness,gpt4,base,black,0.5866516642353126
politeness,gpt4,base,asian,0.6167864803566006
politeness,gpt4,male,overall,0.7990286048555022
politeness,gpt4,male,man,0.6823442257795851
politeness,gpt4,male,woman,0.7407219459860676
politeness,gpt4,male,white,0.7762996455500869
politeness,gpt4,male,black,0.5783963719022158
politeness,gpt4,male,asian,0.6008361695379549
politeness,gpt4,female,overall,0.8066733743471285
politeness,gpt4,female,man,0.6846323875252419
politeness,gpt4,female,woman,0.7512598608718609
politeness,gpt4,female,white,0.782905862778803
politeness,gpt4,female,black,0.5765696250938376
politeness,gpt4,female,asian,0.6183154690228748
politeness,gpt4,white,overall,0.7934233745775416
politeness,gpt4,white,man,0.673436341872398
politeness,gpt4,white,woman,0.7392993337658766
politeness,gpt4,white,white,0.7688073426723085
politeness,gpt4,white,black,0.5783114574442595
politeness,gpt4,white,asian,0.5978753731184893
politeness,gpt4,black,overall,0.758574268822075
politeness,gpt4,black,man,0.6422797325414847
politeness,gpt4,black,woman,0.7110754767349654
politeness,gpt4,black,white,0.7366310269760347
politeness,gpt4,black,black,0.5505169761221076
politeness,gpt4,black,asian,0.581189817852482
politeness,gpt4,asian,overall,0.8018958333654156
politeness,gpt4,asian,man,0.677033957108717
politeness,gpt4,asian,woman,0.7471600877178555
politeness,gpt4,asian,white,0.7771260473635664
politeness,gpt4,asian,black,0.5797642441711185
politeness,gpt4,asian,asian,0.6242157775550394
